,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artists names,popularity,error,ranking
561,0.589,0.658,11,-5.288,0,0.203,0.0242,0.0,0.118,0.251,77.521,audio_features,0hy1SOTEn9ifXTzOwnCwEr,spotify:track:0hy1SOTEn9ifXTzOwnCwEr,https://api.spotify.com/v1/tracks/0hy1SOTEn9ifXTzOwnCwEr,https://api.spotify.com/v1/audio-analysis/0hy1SOTEn9ifXTzOwnCwEr,223973,4,All Eyes on You (feat. Chris Brown & Nicki Minaj),"Meek Mill, Chris Brown, Nicki Minaj",69,,64
562,0.885,0.479,6,-7.81,1,0.149,0.0138,3.18e-06,0.0925,0.237,125.077,audio_features,6wb6zxkNTBtcYVkXcvNyJp,spotify:track:6wb6zxkNTBtcYVkXcvNyJp,https://api.spotify.com/v1/tracks/6wb6zxkNTBtcYVkXcvNyJp,https://api.spotify.com/v1/audio-analysis/6wb6zxkNTBtcYVkXcvNyJp,200080,4,No Type,Rae Sremmurd,0,,65
563,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,audio_features,3JvrhDOgAt6p7K8mDyZwRd,spotify:track:3JvrhDOgAt6p7K8mDyZwRd,https://api.spotify.com/v1/tracks/3JvrhDOgAt6p7K8mDyZwRd,https://api.spotify.com/v1/audio-analysis/3JvrhDOgAt6p7K8mDyZwRd,204280,4,Riptide,Vance Joy,78,,66
564,0.79,0.585,8,-6.058,1,0.0348,0.185,0.0,0.292,0.585,94.072,audio_features,3G7XYAwtxtoGK7fAm4IlD9,spotify:track:3G7XYAwtxtoGK7fAm4IlD9,https://api.spotify.com/v1/tracks/3G7XYAwtxtoGK7fAm4IlD9,https://api.spotify.com/v1/audio-analysis/3G7XYAwtxtoGK7fAm4IlD9,226000,4,Classic Man (feat. Roman GianArthur),"Jidenna, Roman GianArthur",61,,67
565,0.612,0.921,7,-2.879,1,0.0848,0.0183,0.0,0.0576,0.453,139.986,audio_features,70eDxAyAraNTiD6lx2ZEnH,spotify:track:70eDxAyAraNTiD6lx2ZEnH,https://api.spotify.com/v1/tracks/70eDxAyAraNTiD6lx2ZEnH,https://api.spotify.com/v1/audio-analysis/70eDxAyAraNTiD6lx2ZEnH,202173,4,Ex's & Oh's,Elle King,72,,68
566,0.655,0.782,1,-4.789,1,0.185,0.375,0.0,0.317,0.832,79.427,audio_features,3cU2wBxuV6nFiuf6PJZNlC,spotify:track:3cU2wBxuV6nFiuf6PJZNlC,https://api.spotify.com/v1/tracks/3cU2wBxuV6nFiuf6PJZNlC,https://api.spotify.com/v1/audio-analysis/3cU2wBxuV6nFiuf6PJZNlC,184227,4,Dear Future Husband,Meghan Trainor,73,,69
567,0.795,0.616,1,-5.281,0,0.06,0.417,0.0,0.349,0.815,110.015,audio_features,6ukMqDxnOPOgoHdak7Kyp3,spotify:track:6ukMqDxnOPOgoHdak7Kyp3,https://api.spotify.com/v1/tracks/6ukMqDxnOPOgoHdak7Kyp3,https://api.spotify.com/v1/audio-analysis/6ukMqDxnOPOgoHdak7Kyp3,190453,4,Marvin Gaye (feat. Meghan Trainor),"Charlie Puth, Meghan Trainor",69,,70
568,0.63,0.53,0,-7.259,1,0.0434,0.4,0.0,0.177,0.417,108.038,audio_features,2YlZnw2ikdb837oKMKjBkW,spotify:track:2YlZnw2ikdb837oKMKjBkW,https://api.spotify.com/v1/tracks/2YlZnw2ikdb837oKMKjBkW,https://api.spotify.com/v1/audio-analysis/2YlZnw2ikdb837oKMKjBkW,225053,3,Like I'm Gonna Lose You (feat. John Legend),"Meghan Trainor, John Legend",80,,71
569,0.733,0.65,5,-3.539,1,0.0315,0.0703,6.59e-05,0.0829,0.348,110.003,audio_features,18AJRdgUoO9EYn11N7xzaT,spotify:track:18AJRdgUoO9EYn11N7xzaT,https://api.spotify.com/v1/tracks/18AJRdgUoO9EYn11N7xzaT,https://api.spotify.com/v1/audio-analysis/18AJRdgUoO9EYn11N7xzaT,209160,4,Habits (Stay High),Tove Lo,71,,72
570,0.255,0.0734,9,-17.988,0,0.0333,0.383,0.0001,0.2,0.136,92.884,audio_features,5ONu4EF5vxDOCmBbQI6s0M,spotify:track:5ONu4EF5vxDOCmBbQI6s0M,https://api.spotify.com/v1/tracks/5ONu4EF5vxDOCmBbQI6s0M,https://api.spotify.com/v1/audio-analysis/5ONu4EF5vxDOCmBbQI6s0M,218507,4,The Hanging Tree,"James Newton Howard, Jennifer Lawrence",0,,73
571,0.886,0.628,8,-5.949,1,0.131,0.00215,1.15e-05,0.31,0.178,119.906,audio_features,2JI71GHwq2LN8mtq3iCLYo,spotify:track:2JI71GHwq2LN8mtq3iCLYo,https://api.spotify.com/v1/tracks/2JI71GHwq2LN8mtq3iCLYo,https://api.spotify.com/v1/audio-analysis/2JI71GHwq2LN8mtq3iCLYo,239574,4,CoCo,O.T. Genasis,63,,74
572,0.708,0.752,0,-4.401,0,0.0886,0.267,0.0,0.377,0.733,150.058,audio_features,7zrYKlgYQv1ELz7LGyjTd1,spotify:track:7zrYKlgYQv1ELz7LGyjTd1,https://api.spotify.com/v1/tracks/7zrYKlgYQv1ELz7LGyjTd1,https://api.spotify.com/v1/audio-analysis/7zrYKlgYQv1ELz7LGyjTd1,199373,4,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",0,,75
573,0.429,0.31,4,-9.542,1,0.0442,0.747,1.42e-05,0.106,0.19,122.806,audio_features,0XKbpODDLFU0JLibLmPitd,spotify:track:0XKbpODDLFU0JLibLmPitd,https://api.spotify.com/v1/tracks/0XKbpODDLFU0JLibLmPitd,https://api.spotify.com/v1/audio-analysis/0XKbpODDLFU0JLibLmPitd,253208,4,Lay Me Down,Sam Smith,9,,76
574,0.77,0.664,0,-5.604,1,0.211,0.215,0.000118,0.105,0.472,140.163,audio_features,2znzyzlAUc8Z1Ikq9aFOcx,spotify:track:2znzyzlAUc8Z1Ikq9aFOcx,https://api.spotify.com/v1/tracks/2znzyzlAUc8Z1Ikq9aFOcx,https://api.spotify.com/v1/audio-analysis/2znzyzlAUc8Z1Ikq9aFOcx,321987,4,Tuesday (feat. Drake),"ILOVEMAKONNEN, Drake",63,,77
575,0.741,0.488,8,-8.253,1,0.362,0.000235,0.0,0.0488,0.625,160.018,audio_features,4OjuzM3rTWp3q60mEldNSF,spotify:track:4OjuzM3rTWp3q60mEldNSF,https://api.spotify.com/v1/tracks/4OjuzM3rTWp3q60mEldNSF,https://api.spotify.com/v1/audio-analysis/4OjuzM3rTWp3q60mEldNSF,181081,4,Hit the Quan - Original Version,iLoveMemphis,66,,78
576,0.828,0.609,1,-4.402,1,0.0694,0.0916,1.21e-06,0.291,0.707,109.725,audio_features,0lLDaAdXcjOQ7Mf2NXzXay,spotify:track:0lLDaAdXcjOQ7Mf2NXzXay,https://api.spotify.com/v1/tracks/0lLDaAdXcjOQ7Mf2NXzXay,https://api.spotify.com/v1/audio-analysis/0lLDaAdXcjOQ7Mf2NXzXay,292593,4,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)","Macklemore & Ryan Lewis, Grandmaster Melle Mel, Eric Nally, Grandmaster Caz, Kool Moe Dee",0,,79
577,0.752,0.853,8,-5.222,1,0.0491,0.133,0.0,0.0238,0.859,104.003,audio_features,2FviG1Ma0M0BSZbqaDvw0x,spotify:track:2FviG1Ma0M0BSZbqaDvw0x,https://api.spotify.com/v1/tracks/2FviG1Ma0M0BSZbqaDvw0x,https://api.spotify.com/v1/audio-analysis/2FviG1Ma0M0BSZbqaDvw0x,190240,4,House Party,Sam Hunt,0,,80
578,0.823,0.563,6,-5.095,1,0.0443,0.0399,0.0,0.0851,0.682,98.031,audio_features,0k6DnZMLoEUH8NGD5zh2SE,spotify:track:0k6DnZMLoEUH8NGD5zh2SE,https://api.spotify.com/v1/tracks/0k6DnZMLoEUH8NGD5zh2SE,https://api.spotify.com/v1/audio-analysis/0k6DnZMLoEUH8NGD5zh2SE,225227,4,Ayo,"Chris Brown, Tyga",73,,81
579,0.6,0.852,1,-2.282,1,0.0481,0.206,0.0,0.117,0.742,172.094,audio_features,7iAgZvaO0yxtq0v6c0cKrF,spotify:track:7iAgZvaO0yxtq0v6c0cKrF,https://api.spotify.com/v1/tracks/7iAgZvaO0yxtq0v6c0cKrF,https://api.spotify.com/v1/audio-analysis/7iAgZvaO0yxtq0v6c0cKrF,190600,4,Kick The Dust Up,Luke Bryan,0,,82
580,0.775,0.621,1,-7.634,1,0.295,0.332,0.0,0.122,0.15,118.843,audio_features,4E92bmgFiHxvy2SNjXjC3b,spotify:track:4E92bmgFiHxvy2SNjXjC3b,https://api.spotify.com/v1/tracks/4E92bmgFiHxvy2SNjXjC3b,https://api.spotify.com/v1/audio-analysis/4E92bmgFiHxvy2SNjXjC3b,252040,4,Blessings,"Big Sean, Drake",0,,83
581,0.714,0.451,5,-8.268,1,0.0276,0.0883,0.0,0.108,0.406,127.787,audio_features,7GJClzimvMSghjcrKxuf1M,spotify:track:7GJClzimvMSghjcrKxuf1M,https://api.spotify.com/v1/tracks/7GJClzimvMSghjcrKxuf1M,https://api.spotify.com/v1/audio-analysis/7GJClzimvMSghjcrKxuf1M,200720,4,Budapest,George Ezra,44,,84
582,0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,audio_features,4VrWlk8IQxevMvERoX08iC,spotify:track:4VrWlk8IQxevMvERoX08iC,https://api.spotify.com/v1/tracks/4VrWlk8IQxevMvERoX08iC,https://api.spotify.com/v1/audio-analysis/4VrWlk8IQxevMvERoX08iC,216120,5,Chandelier,Sia,79,,85
583,0.49,0.798,6,-3.66,1,0.0489,0.0137,0.0,0.0627,0.479,149.109,audio_features,7FC9Lng8iXU081lbigu8m8,spotify:track:7FC9Lng8iXU081lbigu8m8,https://api.spotify.com/v1/tracks/7FC9Lng8iXU081lbigu8m8,https://api.spotify.com/v1/audio-analysis/7FC9Lng8iXU081lbigu8m8,198733,4,Heartbeat Song,Kelly Clarkson,67,,86
584,0.806,0.608,1,-7.008,1,0.0659,0.0113,0.0,0.635,0.849,95.049,audio_features,1huvTbEYtgltjQRXzrNKGi,spotify:track:1huvTbEYtgltjQRXzrNKGi,https://api.spotify.com/v1/tracks/1huvTbEYtgltjQRXzrNKGi,https://api.spotify.com/v1/audio-analysis/1huvTbEYtgltjQRXzrNKGi,219840,4,Don't,Ed Sheeran,72,,87
585,0.682,0.836,9,-3.777,1,0.0425,0.0464,3.13e-06,0.0797,0.485,104.987,audio_features,2FiceoWDJ67rrmb5tGBpgE,spotify:track:2FiceoWDJ67rrmb5tGBpgE,https://api.spotify.com/v1/tracks/2FiceoWDJ67rrmb5tGBpgE,https://api.spotify.com/v1/audio-analysis/2FiceoWDJ67rrmb5tGBpgE,216107,4,Ghost,Ella Henderson,61,,88
586,0.379,0.799,0,-4.031,1,0.163,0.0804,0.0,0.0793,0.359,120.892,audio_features,3JIGmSPUizgiWcZ0uO1inR,spotify:track:3JIGmSPUizgiWcZ0uO1inR,https://api.spotify.com/v1/tracks/3JIGmSPUizgiWcZ0uO1inR,https://api.spotify.com/v1/audio-analysis/3JIGmSPUizgiWcZ0uO1inR,199453,4,Here,Alessia Cara,0,,89
587,0.829,0.51,5,-9.334,0,0.0369,0.00821,0.0014,0.0829,0.45,119.993,audio_features,5Sf3GyLEAzJXxZ5mbCPXTu,spotify:track:5Sf3GyLEAzJXxZ5mbCPXTu,https://api.spotify.com/v1/tracks/5Sf3GyLEAzJXxZ5mbCPXTu,https://api.spotify.com/v1/audio-analysis/5Sf3GyLEAzJXxZ5mbCPXTu,208133,4,Waves - Robin Schulz Radio Edit,"Mr. Probz, Robin Schulz",56,,90
588,0.736,0.719,8,-3.839,1,0.0357,0.256,0.0,0.0909,0.656,90.013,audio_features,3tTjEntiaTWvWK3MA8fcZD,spotify:track:3tTjEntiaTWvWK3MA8fcZD,https://api.spotify.com/v1/tracks/3tTjEntiaTWvWK3MA8fcZD,https://api.spotify.com/v1/audio-analysis/3tTjEntiaTWvWK3MA8fcZD,206667,4,El Perdón - Forgiveness,"Nicky Jam, Enrique Iglesias",0,,91
589,0.706,0.572,8,-5.799,0,0.0326,0.0262,0.0,0.585,0.574,139.982,audio_features,36lO0n3hzVK9zJONfSdmKC,spotify:track:36lO0n3hzVK9zJONfSdmKC,https://api.spotify.com/v1/tracks/36lO0n3hzVK9zJONfSdmKC,https://api.spotify.com/v1/audio-analysis/36lO0n3hzVK9zJONfSdmKC,214726,4,She Knows,"Ne-Yo, Juicy J",53,,92
590,0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001,audio_features,5O2P9iiztwhomNh8xkR9lJ,spotify:track:5O2P9iiztwhomNh8xkR9lJ,https://api.spotify.com/v1/tracks/5O2P9iiztwhomNh8xkR9lJ,https://api.spotify.com/v1/audio-analysis/5O2P9iiztwhomNh8xkR9lJ,226600,4,Night Changes,One Direction,79,,93
591,0.893,0.48,1,-3.728,0,0.356,0.00854,0.0,0.116,0.382,86.976,audio_features,4rujbg8RNFitwtkv1qEq4K,spotify:track:4rujbg8RNFitwtkv1qEq4K,https://api.spotify.com/v1/tracks/4rujbg8RNFitwtkv1qEq4K,https://api.spotify.com/v1/audio-analysis/4rujbg8RNFitwtkv1qEq4K,170638,4,Back To Back,Drake,0,,94
592,0.738,0.868,11,-4.373,0,0.0731,0.0389,0.00171,0.388,0.336,122.003,audio_features,22mek4IiqubGD9ctzxc69s,spotify:track:22mek4IiqubGD9ctzxc69s,https://api.spotify.com/v1/tracks/22mek4IiqubGD9ctzxc69s,https://api.spotify.com/v1/audio-analysis/22mek4IiqubGD9ctzxc69s,212640,4,How Deep Is Your Love,"Calvin Harris, Disciples",77,,95
593,0.647,0.822,5.0,-4.662,0.0,0.183,0.219,0.0,0.0908,0.962,160.019,audio_features,5b88tNINg4Q4nrRbrCXUmg,spotify:track:5b88tNINg4Q4nrRbrCXUmg,https://api.spotify.com/v1/tracks/5b88tNINg4Q4nrRbrCXUmg,https://api.spotify.com/v1/audio-analysis/5b88tNINg4Q4nrRbrCXUmg,232720.0,4.0,"Happy - From ""Despicable Me 2""",Pharrell Williams,12,,1
594,,,,,,,,,,,,,,,,,,,Dark Horse,"Katy Perry, Juicy J",1,"{'status': 429, 'message': 'API rate limit exceeded'}",2
595,,,,,,,,,,,,,,,,,,,All of Me,John Legend,86,"{'status': 429, 'message': 'API rate limit exceeded'}",3
596,,,,,,,,,,,,,,,,,,,Fancy,"Iggy Azalea, Charli XCX",70,"{'status': 429, 'message': 'API rate limit exceeded'}",4
597,,,,,,,,,,,,,,,,,,,Counting Stars,OneRepublic,63,"{'status': 429, 'message': 'API rate limit exceeded'}",5
598,,,,,,,,,,,,,,,,,,,Talk Dirty (feat. 2 Chainz),"Jason Derulo, 2 Chainz",71,"{'status': 429, 'message': 'API rate limit exceeded'}",6
599,,,,,,,,,,,,,,,,,,,Rude,MAGIC!,79,"{'status': 429, 'message': 'API rate limit exceeded'}",7
600,,,,,,,,,,,,,,,,,,,All About That Bass,Meghan Trainor,63,"{'status': 429, 'message': 'API rate limit exceeded'}",8
601,,,,,,,,,,,,,,,,,,,Problem,"Ariana Grande, Iggy Azalea",0,"{'status': 429, 'message': 'API rate limit exceeded'}",9
602,,,,,,,,,,,,,,,,,,,Stay With Me,Sam Smith,0,"{'status': 429, 'message': 'API rate limit exceeded'}",10
603,,,,,,,,,,,,,,,,,,,Timber (feat. Ke$ha),"Pitbull, Kesha",59,"{'status': 429, 'message': 'API rate limit exceeded'}",11
604,,,,,,,,,,,,,,,,,,,Pompeii,Bastille,1,"{'status': 429, 'message': 'API rate limit exceeded'}",12
605,,,,,,,,,,,,,,,,,,,Shake It Off,Taylor Swift,0,"{'status': 429, 'message': 'API rate limit exceeded'}",13
606,,,,,,,,,,,,,,,,,,,Am I Wrong,Nico & Vinz,74,"{'status': 429, 'message': 'API rate limit exceeded'}",14
